21092023	11:38:17	1b55408d-5240-4135-abd7-a693c063719a	Log event emitted
21092023	11:38:30	975148d4-a399-4178-9af6-4176e27645a5	Log event emitted
21092023	12:04:09	27f72962-5200-4ff9-9eac-aeea5cebe6fc	Log event emitted
21092023	12:04:16	81c65fea-fbac-4189-8fb5-f52a48e5bd89	Log event emitted
21092023	12:29:50	1a1789dc-5dc2-4a8d-b01d-f29e5f966603	/	GET
21092023	12:29:50	622ffa22-007e-47a1-88d4-a5defac976f7	/css/style.css	GET
21092023	12:29:50	0473642d-8f0f-443b-8f4f-ba5a72b435d4	/favicon.ico	GET
21092023	12:30:02	b29452d8-d264-4c37-a16b-f1eb841c02f5	/p	GET
21092023	12:30:02	1d22606a-050b-404b-ae27-25ce310de7d1	/css/style.css	GET
21092023	12:30:17	44400e66-4fb0-4ad4-85b4-e194f72b2dd6	/	GET
21092023	12:30:17	cf390ef9-a3b7-4bb8-98cf-0117374008f8	/css/style.css	GET
21092023	12:34:09	f36ff8ab-6f50-47a0-974d-2e351cfb6f36	/data/data.txt	GET
21092023	12:34:13	a7a197dc-ffb2-407f-94c6-7f3347d03f09	/data/data.json	GET
21092023	12:42:48	2b23db0c-61c6-4fb7-9d9b-f3dfdba1a2c6	/new-page	GET
21092023	12:42:48	9d596910-633f-4ec8-b6a1-edfb1ba33065	/css/style.css	GET
21092023	12:42:48	d2189f30-255d-454e-bac9-c3a43a4f448e	/img/img1.jpg	GET
21092023	12:43:04	a20ed494-f3d2-4245-9705-be904ff0387e	/new-pag	GET
21092023	12:43:04	1d8dd8e0-c94d-42ca-9399-1ac80501ebd0	/css/style.css	GET
21092023	12:54:21	b4e52094-9dd2-4030-898b-637e2ba2208d	/ol-pag	GET
21092023	12:54:21	9641d868-ef9f-488e-a2f8-af2afdc050e9	/css/style.css	GET
21092023	12:54:26	029e091e-09ac-45b5-a39c-6eae46df8606	/old-pag	GET
21092023	12:54:26	ec5a16b3-aec3-42bf-8322-25fa3228d2d2	/css/style.css	GET
21092023	12:54:30	d7fc690a-1697-4912-a91b-0c2726f8de3e	/old-page	GET
21092023	12:54:30	d2cae0a1-bb22-4766-8fc0-2ec638a1f53f	/new-page.html	GET
21092023	12:54:30	42ed09a0-d8c7-480d-bb7b-eab3cf3f56d9	/css/style.css	GET
21092023	12:54:30	003a0c01-20bd-4c81-aedf-ae821130778f	/img/img1.jpg	GET
